RunID,1,2,3
297,15,2,1
298,2,2,5
299,5,3,2
300,8,5,3
301,3,7,5
302,7,2,6
303,9,2,2
304,3,0,5
305,6,1,0
306,1,1,2
307,3,8,4
308,2,5,3
309,15,0,0
310,11,0,0
311,3,3,23
312,7,3,2
313,12,16,5
314,1,0,4
315,0,2,1
316,3,0,0
317,6,4,0
318,0,0,11
319,7,1,9
320,12,5,7
321,3,3,0
322,6,0,0
323,5,2,2
324,3,6,3
325,2,1,0
326,9,1,3
327,7,1,0
328,7,1,4
329,0,5,3
330,5,5,6
331,0,2,5
332,2,7,1
333,8,4,0
334,5,7,6
335,6,4,10
336,4,0,0
337,13,5,7
338,0,5,5
339,12,7,5
340,10,6,4
341,12,9,7
342,8,7,4
343,0,0,0
344,2,4,9
345,3,5,3
347,1,4,1
348,7,0,8
349,6,3,0
350,5,3,0
351,2,6,7
352,8,3,6
353,4,0,0
354,11,10,3
355,0,1,3
356,0,0,0
357,3,1,1
358,6,4,1
359,11,12,2
360,13,9,1
361,1,1,2
362,7,4,1
363,4,3,2
364,1,6,3
365,3,3,1
366,2,3,3
367,2,2,1
368,2,1,0
369,0,4,6
371,2,2,1
372,6,6,4
373,5,9,7
374,4,3,1
375,1,2,10
376,1,4,0
377,5,0,1
378,3,2,1
379,1,0,2
380,2,5,1
381,10,2,1
384,8,5,0
385,5,0,0
386,5,5,1
387,8,4,14
388,7,3,12
389,6,4,2
390,12,6,0
391,3,1,15
392,2,3,1
393,5,15,4
394,3,3,2
395,3,6,10
396,4,2,5
397,1,2,0
398,3,7,1
399,2,0,5
400,8,9,6
401,2,5,3
403,0,2,0
404,2,0,5
405,5,7,1
406,2,9,3
408,9,2,4
409,5,5,9
410,2,8,0
411,8,9,5
412,3,3,2
413,2,0,0
414,2,4,1
415,4,8,1
416,6,3,6
417,7,5,4
418,7,3,0
419,2,5,4
420,12,6,2
421,13,0,0
422,0,3,0
423,6,1,0
424,4,0,0
425,9,3,5
426,2,2,9
427,6,8,1
428,2,0,0
429,6,8,7
430,1,6,5
431,4,2,7
432,8,4,4
434,4,3,4
435,8,2,10
436,6,6,10
437,10,8,3
438,2,0,0
439,4,2,0
440,11,4,6
441,4,5,7
442,10,2,1
443,3,1,0
444,5,2,4
445,9,4,0
446,1,1,0
447,2,2,3
449,6,4,0
450,5,2,1
451,6,4,6
452,6,3,0
453,3,11,7
454,8,7,1
455,6,5,0
456,3,2,3
457,16,3,0
458,0,1,1
459,5,3,11
460,11,6,2
461,4,1,0
462,5,12,8
463,5,5,7
464,3,4,2
468,10,1,1
469,2,8,7
470,11,4,4
471,8,9,2
473,12,16,1
474,1,3,4
475,20,1,0
476,0,1,0
477,10,4,2
478,3,6,0
479,12,1,7
480,16,4,0
481,4,1,1
482,4,4,0
483,11,1,0
484,7,5,2
485,8,2,6
486,4,3,8
489,4,4,6
490,0,0,6
491,5,4,11
492,15,2,2
493,5,0,0
494,6,3,7
495,1,0,7
496,3,0,0
497,2,3,6
498,8,11,3
499,6,4,1
500,0,2,16
501,2,2,10
502,5,5,1
503,0,8,14
504,3,3,7
505,4,4,9
506,9,3,11
507,12,6,4
508,4,9,3
509,9,6,7
510,16,5,1
511,0,1,5
512,3,0,0
513,4,2,0
514,6,1,0
515,8,4,4
516,1,1,0
517,0,0,0
518,3,2,8
519,0,3,4
520,6,3,0
521,14,5,0
522,3,2,0
523,4,2,0
524,4,0,4
525,4,1,0
526,1,0,0
527,7,14,4
528,2,2,6
530,5,2,2
531,9,5,6
532,8,2,0
533,1,1,0
534,5,3,1
535,2,0,14
536,4,5,19
537,7,12,8
538,5,3,0
539,3,2,6
540,1,3,2
541,7,3,0
542,1,1,7
543,0,0,0
544,1,1,2
545,3,2,7
546,9,5,3
547,1,0,1
548,2,10,8
549,5,7,4
